VideoID,Title,UploadDate,Views,Likes,Dislikes,Comments
3UMBcd3TyhQ,What is SEO (Search Engine Optimization) & How it's Work? | Types of SEO & SEO Techniques,2015-08-22 14:25:10+00:00,419504,3713,N/A,295
8RvAdYyvtcM,SEO Tutorial - What is Search Engine Working | Crawlers | Ranking Algorithm,2015-09-06 13:50:41+00:00,147843,1061,N/A,76
O6RZPzYxMls,"TYPES OF SEO: White Hat, Grey Hat & Black Hat SEO - Full Guide",2015-09-19 08:25:17+00:00,127662,1082,N/A,48
nmX-C9emvEs,On-Page SEO: Big Guide to On-Page Optimization - Complete Tutorial,2015-09-19 10:38:26+00:00,248356,2389,N/A,256
2IXS-B_Zafk,Google Keyword Planner Tutorial - What is Keyword Analysis | SEO Tutorial,2015-09-25 19:01:11+00:00,135444,1429,N/A,310
LtK-IJU5_R8,Tag Optimization | Meta Tag Optimization | Meta Keywords | SEO Tutorial,2015-10-04 13:35:42+00:00,75909,645,N/A,70
l2UbaPlI_5U,How to create a sitemap for a website | what is a sitemap | Sitemap Generator - Part 7,2015-10-09 15:33:13+00:00,66666,387,N/A,53
40hlRN0paks,How to create a Robot.txt | what is a Robots.txt | Robots exclusion standard - Part 8,2015-10-17 09:45:15+00:00,58469,392,N/A,46
EZtFZgpfJOw,How to submit sitemap to Google | Sitemap Submission | Google webmaster submit URL - Part 9,2015-10-26 08:28:12+00:00,44194,210,N/A,39
jC7T0QByn7A,Working of Google Webmaster | Google Webmaster Tool | Webmaster Tools -Part 10,2015-11-05 14:51:55+00:00,47120,280,N/A,66
WP7PhA7DHRA,Google Analytics | Submit Website on Google Analytics | Google Web Analytics -Part 11,2015-11-21 14:44:11+00:00,33516,166,N/A,24
5QhkfcfZNjA,Google Analytics Introduction | Google Analytics | Google Analytics Tutorial for Beginners,2015-11-30 16:51:17+00:00,38661,301,N/A,38
yXSzg2v9UhY,How to Add Location on Google Map | Google Business | SEO -Part 13,2015-12-14 07:16:02+00:00,32778,234,N/A,33
KsvmOSvDcqQ,Off-Page SEO कैसे करें? | Learn Off Page SEO in 15 Minutes | SEO Tutorial,2015-12-20 07:38:11+00:00,147225,1910,N/A,148
64gSo8Ptlew,Google Page Rank | Page ranking | How to increase Page Rank | SEO -Part 15,2015-12-26 14:00:23+00:00,35431,222,N/A,22
Rmajomop8J8,What is web directory | Directory Submission | Off Page SEO | SEO Tutorial in Hindi,2016-01-11 15:20:42+00:00,107816,1145,N/A,152
XTvH-RVcSQk,Introduction to Digital Marketing | Types of Digital Marketing | SEO Tutorial,2016-01-24 11:11:45+00:00,27305,214,N/A,23
T3l5AekDaKg,Inbound Marketing | Difference between Inbound and Outbound Marketing | SEO Tutorial,2016-01-30 15:46:56+00:00,37458,402,N/A,47
buf8RyUVbA0,What is SEO? SEO Introduction in English | SEO Tutorial | Step By Step SEO Tutorial,2016-02-17 09:03:58+00:00,27181,261,N/A,17
bKwCD62J3p8,Link building | Building links | How to increase backlinks | SEO Tutorial,2016-02-21 07:04:55+00:00,74331,878,N/A,156
EjxzZSAXx5s,Content Marketing | What is content marketing | SEO Tutorial,2016-02-25 07:40:15+00:00,36499,451,N/A,44
k2Xd-Ml-1yQ,SEO Tools | Best SEO tools | How SEO tools work | SEO Tutorial,2016-03-03 07:45:53+00:00,95679,1437,N/A,121
BZ-EdqWnPGk,How to Increase Backlinks | Blog Commenting in SEO | SEO Tutorial,2016-03-27 13:57:25+00:00,39217,390,N/A,113
BDX-PFh1uoQ,Social Bookmarking | What is social bookmarking | Link building | SEO Tutorial,2016-04-08 09:43:32+00:00,98344,1318,N/A,156
EJGHRXqExYU,SMO | Learn Social Media Optimization | SMO Tutorial for Beginners in Hindi,2016-04-14 07:51:44+00:00,126850,1482,N/A,140
S0Rp_7LJxLU,What is Online Reputation Management-ORM | ORM Tutorial | SEO Tutorial,2016-04-25 07:21:07+00:00,29542,361,N/A,26
_k4eCU5fCDA,Sitemap | Dynamic sitemap | Ecommerce sitemap | SEO -Part 26,2016-05-04 09:05:30+00:00,23941,203,N/A,23
2QthI9yWZnQ,Blog Post for Beginners | Blog writing | Article writing | SEO Tutorial,2016-05-12 14:16:29+00:00,30002,440,N/A,27
