VideoID,Title,UploadDate,Views,Likes,Dislikes,Comments
F59KmOrnFco,Gearing up with Zoho Offline,2007-08-23 17:44:51+00:00,13319,76,N/A,32
1ZDybXl212Q,Cluster Computing and MapReduce Lecture 4,2007-08-28 16:46:15+00:00,124171,245,N/A,39
-vD6PUdf3Js,Cluster Computing and MapReduce Lecture 2,2007-08-28 16:51:42+00:00,104677,321,N/A,34
yjPBkvYh-ss,Cluster Computing and MapReduce Lecture 1,2007-08-28 16:53:57+00:00,229927,890,N/A,55
5Eib_H_zCEY,Cluster Computing and MapReduce Lecture 3,2007-08-28 16:56:29+00:00,65622,224,N/A,8
BT-piFBP4fE,Cluster Computing and MapReduce Lecture 5,2007-08-28 17:09:46+00:00,45479,104,N/A,6
zI38Tc9GjSk,Gears 0.2 Update,2007-08-29 18:51:30+00:00,13860,9,N/A,2
FVo5wDsi5Bg,Queplix talk about their GWT open source application,2007-09-17 05:14:28+00:00,6925,4,N/A,1
ZvFVs92Fydw,[DEPRECATED] Google does cross domain read/write JavaScript,2007-09-20 00:45:56+00:00,27455,25,N/A,11
EQ2vLdFTaT0,Sigurd Magnusson of SilverStripe,2007-10-12 22:35:49+00:00,5809,4,N/A,3
DjSO5nAK6wE,[DEPRECATED] Blogger JavaScript Library Release and Blog.gears Offline,2007-10-18 18:05:08+00:00,146708,68,N/A,6
GDghsg7sNUs,Maps API Overview (short),2007-10-30 04:05:36+00:00,2973,12,N/A,1
wlhB8o-EmgM,Bleacher Report talks about OpenSocial,2007-11-03 01:58:41+00:00,2451,11,N/A,2
jt9VEtDo4Zk,Slide talks about OpenSocial,2007-11-03 02:08:27+00:00,3015,2,N/A,1
EYKppFpaTws,E-junkie talks about OpenSocial,2007-11-03 02:10:45+00:00,1929,6,N/A,1
-KTtrye7sbo,Shelfari talks about OpenSocial,2007-11-03 02:12:17+00:00,3419,8,N/A,2
nSqj7cU1Q-Q,Flixster talks about OpenSocial,2007-11-03 02:15:59+00:00,3717,8,N/A,5
rsbVUU5iI1M,Plaxo talks about OpenSocial,2007-11-03 02:18:55+00:00,2710,2,N/A,0
21UTDICgEmY,LinkedIn talks about OpenSocial,2007-11-03 02:20:53+00:00,3714,5,N/A,1
lVIYhdaavsw,Ning talks about OpenSocial,2007-11-03 02:21:11+00:00,24239,50,N/A,17
CnYFsdAnKew,FotoFlexer talks about OpenSocial,2007-11-03 02:24:49+00:00,3707,4,N/A,0
zsBN69azOpo,iLike talks about OpenSocial,2007-11-03 02:26:15+00:00,2251,3,N/A,0
RuKSyLSxuc4,hi5 talks about OpenSocial,2007-11-05 17:02:14+00:00,18478,6,N/A,3
7m24I5ghHO8,Qloud talks about OpenSocial,2007-11-07 00:07:12+00:00,1594,1,N/A,1
YxEraGHGUI8,RockYou talks about OpenSocial,2007-11-08 06:44:05+00:00,1314,2,N/A,2
YL1pycL9TEg,Oberon Media talks about OpenSocial,2007-11-08 06:46:45+00:00,3022,12,N/A,0
EiaB2fsPN1g,Hungry Machine talks about OpenSocial,2007-11-08 06:49:05+00:00,1203,1,N/A,1
_Tayr_9kM6Y,Campfire One: Introducing OpenSocial (pt. 1),2007-11-10 00:17:40+00:00,5978,3,N/A,1
pqzb8UFVHTY,Campfire One: Introducing OpenSocial (pt. 2),2007-11-10 00:21:18+00:00,2898,1,N/A,2
uw2hhRkNY0E,Campfire One: Introducing OpenSocial (pt. 3),2007-11-10 00:43:35+00:00,2479,2,N/A,0
JK0glunMU9Q,Campfire One: Introducing OpenSocial (pt. 4),2007-11-10 01:01:03+00:00,1712,2,N/A,1
VCEydxaxQdg,Campfire One: Introducing OpenSocial (pt. 5),2007-11-10 01:02:23+00:00,3881,2,N/A,1
Q6kqINnJw6I,Campfire One: Introducing OpenSocial (pt. 6),2007-11-10 01:07:21+00:00,2461,2,N/A,1
yHRi11Hsjqg,Zend Framework Google data PHP Client Update,2007-11-30 20:53:33+00:00,36634,15,N/A,4
ne7_mZ7rYsM,Chronus talks about OpenSocial,2007-12-03 18:49:59+00:00,1281,5,N/A,0
SIFr4Gx2pMU,Zoho Writer Offline - Now with full Read Write functionality,2007-12-03 21:25:44+00:00,7232,6,N/A,3
VGazSZUYyf4,Making the Most of Maps,2007-12-05 22:44:10+00:00,5370,7,N/A,3
pLA7wU1Kod4,Google Highly Open Participation Contest: Week One,2007-12-06 20:32:23+00:00,4262,6,N/A,1
ADos_xW4_J0,Introduction to Google Data,2007-12-21 10:29:37+00:00,96514,70,N/A,20
v9r1m8WX8sg,Gadgets Live Coding,2007-12-21 10:31:18+00:00,23374,21,N/A,3
kH28fJbCq3s,Introduction to Gadgets (part 2),2007-12-21 12:05:39+00:00,3036,9,N/A,1
EhIPwD09v5A,Introduction to Gadgets (part 1),2007-12-21 13:18:39+00:00,7564,8,N/A,0
vV0ebXclRd8,Brian McCallister of Ning on OpenSocial and Shindig,2007-12-21 23:11:35+00:00,3856,9,N/A,1
xoe1yT0J6KI,Voices That Matter: GWT - Using UI,2007-12-28 00:20:55+00:00,3639,15,N/A,1
7x4hun_Kqks,Voices That Matter: GWT - Creating Widgets,2007-12-28 00:27:05+00:00,3605,16,N/A,1
Bjg1GqaJXqY,Voices That Matter: GWT - Building Libraries,2007-12-28 00:27:31+00:00,1787,7,N/A,0
WeQPtp6dXfo,Voices That Matter: GWT - Conversation with Jeet Kaul,2007-12-28 01:02:02+00:00,1712,3,N/A,0
6YMn61Dv2nQ,Voices That Matter: GWT - JavaScript Native Interface,2007-12-28 01:28:17+00:00,8430,26,N/A,1
gVoKP1aGug8,Voices That Matter: GWT - Internationalization,2007-12-28 01:30:19+00:00,2015,4,N/A,0
uX1Nhr75zDI,Voices That Matter: GWT - Deferred Binding,2007-12-28 01:33:22+00:00,2626,7,N/A,0
OgaFVfO69C8,Voices That Matter: GWT - Unit Testing and Benchmarking,2007-12-28 01:36:26+00:00,3576,4,N/A,0
P-jRS4LvsDQ,Voices That Matter: GWT - Tour of GWT Core Libraries,2007-12-28 01:38:31+00:00,2510,5,N/A,0
yncRV6Dk-kQ,Voices That Matter: GWT - Conference Wrap Up,2007-12-28 01:38:39+00:00,1775,3,N/A,0
1hdIVQcWwoY,Voices That Matter: GWT - Conversation with David Geary,2007-12-28 01:42:44+00:00,2017,2,N/A,0
Zi6N7Y60CXo,Voices That Matter: GWT - Remote Procedure Calls,2007-12-28 02:03:27+00:00,4208,8,N/A,2
RR1E5zO-eBo,Voices That Matter: GWT - Conversation with Josh Bloch,2007-12-28 02:06:12+00:00,20444,67,N/A,5
mMh2D3-cHik,Voices That Matter: GWT - Client Server Communication,2007-12-28 02:14:38+00:00,3995,5,N/A,0
C5qYJsIWufA,Voices That Matter: GWT - Productivity,2007-12-28 02:20:57+00:00,6711,12,N/A,1
hKrvY42dw1A,Voices That Matter: GWT - Security,2007-12-28 02:24:00+00:00,6713,15,N/A,2
HeAXUDEfbjc,Voices That Matter: GWT - Deployment Best Practices,2007-12-28 02:31:05+00:00,5287,9,N/A,4
kMsL9fN-rXk,Voices That Matter: GWT - Usability,2007-12-28 02:36:08+00:00,7198,20,N/A,0
2x1WoMo5cyQ,Voices That Matter: GWT - GWT Cool and Useful Stuff,2007-12-28 02:50:26+00:00,4227,9,N/A,0
kkbTbkMRZGE,Voices That Matter: GWT - Applications Panel,2007-12-28 02:54:35+00:00,3338,7,N/A,0
Uwp3EVU5ePA,Voices That Matter: GWT - Architecture Best Practices,2007-12-28 02:56:16+00:00,17770,27,N/A,1
nBdvSdDAzHM,Voices That Matter: GWT - Performance,2007-12-28 03:00:53+00:00,3597,10,N/A,0
ViCyl-WNIeI,Voices That Matter: GWT - Tools for GWT Panel,2008-01-02 19:07:58+00:00,9217,17,N/A,1
tdNguO6SzU4,OpenSocial at Facebook Application Development Meetup,2008-01-03 02:10:06+00:00,9099,16,N/A,1
6NhdXm9197s,An OpenSocial HappyHour with Gears,2008-01-10 01:48:18+00:00,3062,2,N/A,1
VyHaImmmkGs,Radish: Environmentally Friendly Conference Rooms,2008-01-14 23:41:33+00:00,30073,27,N/A,7
ceB0CjSCD2w,OpenSocial MySpace Container Update,2008-01-17 18:13:22+00:00,849,2,N/A,0
0P0zWx-TONs,OpenSocial MySpace Application Demo,2008-01-17 18:23:51+00:00,2201,6,N/A,1
m3znA_4xptA,Compiere: Switching from Swing to GWT,2008-01-20 04:17:27+00:00,18079,12,N/A,4
mbd0ziXJm98,OpenSocial Hackathon: Reinoud Elhorst of Hyves,2008-01-24 06:49:51+00:00,1460,2,N/A,1
ihkDSCO0chE,OpenSocial Hackathon: Freddy Mini of Netvibes,2008-01-24 07:33:21+00:00,1291,2,N/A,1
dm4tcigbkAI,OpenSocial Hackathon: Joseph Smarr of Plaxo,2008-01-24 08:06:20+00:00,1934,3,N/A,0
EE4Q9Y4kcF8,OpenSocial Hackathon: David Recordon of Six Apart,2008-01-24 08:24:15+00:00,4621,5,N/A,1
1QD9XQm_Jd4,Interview with Steve Yegge on Rhino on Rails and more,2008-01-29 09:58:15+00:00,33935,51,N/A,12
OXz3hK6FDWI,Autodesk Project Draw Offline,2008-02-01 04:49:42+00:00,22023,8,N/A,1
tWEZaW4UBtw,Orkut's Policies on OpenSocial Applications,2008-02-15 10:16:31+00:00,1203,0,N/A,1
lPyJxVJr2Mw,A Tour of OpenSocial Developer Resources,2008-02-15 11:04:17+00:00,14015,5,N/A,1
_JJtM7tqT_Q,OpenSocial Tutorial - Part 2: Listing Friends,2008-02-15 11:08:59+00:00,76606,20,N/A,2
mwNTNbZLCJM,OpenSocial Tutorial - Part 3: Giving Gifts,2008-02-15 11:22:05+00:00,40969,23,N/A,3
9gW2YVBrNVA,OpenSocial Tutorial - Part 1: Gadget Basics,2008-02-15 11:30:55+00:00,233127,88,N/A,58
6gzmg-eTH0k,OpenSocial Tutorial - Part 4: Listing Gifts You've Sent,2008-02-15 11:36:09+00:00,26678,14,N/A,2
uGxGsb5tG-4,OpenSocial Tutorial - Part 5: Listing Gifts You've Received,2008-02-15 11:43:45+00:00,20719,12,N/A,5
0JvBJYTJ2a8,OpenSocial @ Facebook Application Development Meetup 2/13/08,2008-02-22 19:57:35+00:00,10755,26,N/A,3
WeHnQESDr-8,Quick & Dirty KML Creation,2008-02-22 22:18:27+00:00,75400,189,N/A,22
